101,VALE,MINERAÇÃO;
102,CSN,MINERAÇÃO;
103,MINERAÇÃO MARACÁ,MINERAÇÃO;
104,MMX MINERAÇÃO,MINERAÇÃO;
105,SAMARCO,MINERAÇÃO;
106,YAMANA,MINERAÇÃO;
107,CBMM,MINERAÇÃO;
108,ANGLOGOLD,MINERAÇÃO;
109,MAGNESITA REFRATÁRIOS,MINERAÇÃO;
110,USIMINAS MINERAÇÃO,MINERAÇÃO;
111,RIO PARACATU MINERAÇÃO,MINERAÇÃO;
112,FERROUS,MINERAÇÃO;
113,MIRABELA MINERAÇÃO,MINERAÇÃO;
114,MINERAÇÃO RIO DO NORTE,MINERAÇÃO;
115,KINROSS BRASIL MINERAÇÃO S/A,MINERAÇÃO;
116,CARPATHIAN GOLD,MINERAÇÃO;
117,MANABI HOLDING,MINERAÇÃO;
118,ANGLO AMERICAN,MINERAÇÃO;
119,BEMISA,MINERAÇÃO;
120,ARCELORMITTAL MINERAÇÃO,MINERAÇÃO;
121,BHPBILLITON,MINERAÇÃO;
122,CENTAURO BRASIL MINERAÇÃO,MINERAÇÃO;
123,VALE FERTILIZANTES,MINERAÇÃO;
124,B&A MINERAÇÃO,MINERAÇÃO;
125,BOZEL,MINERAÇÃO;
126,IMERYS MINERALS,MINERAÇÃO;
127,ONE VALE,MINERAÇÃO;
128,TENOVA DO BRASIL,MINERAÇÃO;
129,VALLOUREC MINERAÇÃO,MINERAÇÃO;
130,NEW STEEL,MINERAÇÃO;
131,Mineração Taboca,MINERAÇÃO;
132,MR Mineração,MINERAÇÃO;
133,MRN,MINERAÇÃO;
134,AMG MINERAÇÃO,MINERAÇÃO;
135,CMOC,MINERAÇÃO;
136,BRIO GOLD,MINERAÇÃO;
140,LEAGOLD,MINERAÇÃO;
141,Mineração Vale Verde (MVV),MINERAÇÃO;
142,LIASA,MINERAÇÃO;
143,Mineração Maracá,MINERAÇÃO;
201,USIMINAS CUBATÃO,SIDERURGIA;
202,GERDAU AÇOMINAS,SIDERURGIA;
203,GERDAU AÇOS LONGOS,SIDERURGIA;
204,ARCELORMITTAL,SIDERURGIA;
205,CST,SIDERURGIA;
206,USIMINAS IPATINGA,SIDERURGIA;
207,USIMINAS,SIDERURGIA;
208,GERDAU AÇOS ESPECIAIS,SIDERURGIA;
209,VOTORANTIM METAIS,SIDERURGIA;
210,USIMINAS MECÂNICA,SIDERURGIA;
211,THYSSENKRUPP,SIDERURGIA;
212,POSCO E&C,SIDERURGIA;
213,APERAM INOX,SIDERURGIA;
214,PARANAPANEMA S/A,SIDERURGIA;
215,GERDAU RIOGRANDENSE,SIDERURGIA;
216,ARCELORMITTAL TUBARAO,SIDERURGIA;
217,CSP,SIDERURGIA;
218,Votorantim Siderurgia,SIDERURGIA;
219,TERNIUM,SIDERURGIA;
220,AMV,SIDERURGIA;
221,GERDAU AÇOS BRASIL,SIDERURGIA;
222,GERDAU SUMMIT,SIDERURGIA;
301,ALCOA-ALUMAR,ALUMÍNIO;
302,CBA CIA. BRASILEIRA DE ALUMÍNIO,ALUMÍNIO;
303,HINDALCO BRASIL,ALUMÍNIO;
304,AWA - ALCOA,ALUMÍNIO;
401,PETROBRAS,PETROLEO;
501,PETRONAS LUBRIFICANTES,PETROQUÍMICA;
502,ITF Chemical,PETROQUÍMICA;
601,CAMARGO CORREA,CIMENTO;
602,VOTORANTIM CIMENTOS,CIMENTO;
603,CIA DE CIMENTOS ITAMBE,CIMENTO;
604,CIMENTOS PLANALTO,CIMENTO;
605,INTERCEMENT,CIMENTO;
606,CIMENTOS LIZ,CIMENTO;
607,ITACAMBA,CIMENTO;
608,CIMENTOS CPX BRASIL,CIMENTO;
609,CIMENTOS BAHIA,CIMENTO;
701,INB,NUCLEAR;
801,MRS LOGÍSTICA,LOGISTICA;
802,VLI,LOGISTICA;
803,MINASUL,LOGISTICA;
804,CAPITAL REALTY,LOGISTICA;
805,PRUMO LOGÍSTICA,LOGISTICA;
806,Porto do Açu,LOGISTICA;
1001,GALVÃO ENGENHARIA,EMPREITEIRA;
1002,DALTEC,EMPREITEIRA;
1003,GERAES CONSTRUTORA,EMPREITEIRA;
1004,ORGANIZAÇÃO ICEC,EMPREITEIRA;
1005,ASM ALICERCE 10 SPE (CSUL),EMPREITEIRA;
1101,USIMINAS MECÂNICA,FABRICANTE;
1102,EUCATEX,FABRICANTE;
1103,SIEMENS LTDA,FABRICANTE;
1104,INTEGRAL CONSTRUÇÕES,FABRICANTE;
1105,SMS-MEER,FABRICANTE;
1106,VALLOUREC & MANNESMANN TUBES,FABRICANTE;
1107,MITSUBISHI,FABRICANTE;
1108,TKCSA,FABRICANTE;
1109,TECNOWATT ILUMINAÇÃO,FABRICANTE;
1110,PRAXAIR,FABRICANTE;
1111,IVECO,FABRICANTE;
1112,CONSTRUCOM,FABRICANTE;
1113,BARRY CALLEBAUT,FABRICANTE;
1114,GRUPO BOTICARIO,FABRICANTE;
1115,VALLOUREC & SUMITOMO (VSB),FABRICANTE;
1116,FIAT,FABRICANTE;
1117,NATURA,FABRICANTE;
1118,CHOCOLATES GAROTO,FABRICANTE;
1119,NISSAN DO BRASIL,FABRICANTE;
1120,SANDVIK,FABRICANTE;
1121,FOTON,FABRICANTE;
1126,Outotec Brasil,FABRICANTE;
1127,VALLOUREC TUBOS DO BRASIL,FABRICANTE;
1201,CHEMTECH,ENGENHARIA;
1202,GRUPO ELO,ENGENHARIA;
1203,EGESA,ENGENHARIA;
1204,AECOM,ENGENHARIA;
1205,5R PROPERTIES ENGENHARIA DESENVOLVIMENTO,ENGENHARIA;
1206,VOGBR,ENGENHARIA;
1207,POTENCIAL,ENGENHARIA;
1208,HALLIBURTON,ENGENHARIA;
1209,AERIS ENERGY,ENGENHARIA;
1301,CEMIG TELECOMUNICAÇÕES,TELECOMUNICAÇÕES;
1302,GVT,TELECOMUNICAÇÕES;
1303,SIEMENS,TELECOMUNICAÇÕES;
1304,TELEBRAS,TELECOMUNICAÇÕES;
1305,ELETROBRAS,TELECOMUNICAÇÕES;
1306,SUNCOKE ENERGY BRASIL,TELECOMUNICAÇÕES;
1307,OI,TELECOMUNICAÇÕES;
1308,TELEFONICA (VIVO),TELECOMUNICAÇÕES;
1401,BASF S/A,QUÍMICA;
1501,BUNGE,FERTILIZANTES;
1502,BPI - BUNGE PARTICIPAÇÕES E INVESTIMENTOS,FERTILIZANTES;
1503,VERDE FERTILIZANTES,FERTILIZANTES;
1505,MOSAIC,FERTILIZANTES;
